Content,Video title,Video publish time,Duration,Engaged views,Average percentage viewed (%),Stayed to watch (%),Unique viewers,Unique reach,Views (co-viewed),Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Hypes,Hype points,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,YouTube Premium views,YouTube Premium watch time (hours),End screen element clicks,End screen elements shown,Clicks per end screen element shown (%),Card clicks,Cards shown,Clicks per card shown (%),Card teaser clicks,Card teasers shown,Teaser clicks per card teaser shown (%),Views,Watch time (hours),Subscribers,Average view duration,Thumbnail impressions,Thumbnail click-through rate (%)
Total,,,,67409,18.14,47,0,85363,52831,0,0,0,0,0,0,0,170,22,1607,30,98.17,95,32,18936,351.4117,12,717,1.67,0,0,0,0,0,0,124516,1618.7623,148,0:01:25,451559,2.93
lmZtKjzyYho,kyousuke | 1.44 Rating | Spirit vs Falcons | Dust2 | Semi-final | IEM Cologne Major 2026,"Jun 23, 2026",2296,2682,16.62,,,2404,66,,,,,,0,0,5,1,29,1,96.67,1,1,622,68.2574,0,0,,0,0,,0,0,,2684,284.2652,4,0:06:21,72600,2.66
_ICRj3i6uiQ,NiKo | 1.73 Rating | FURIA vs Falcons | Inferno | Grand Final | IEM Cologne Major 2026,"Jun 28, 2026",1951,2576,17.44,,,2336,54,,,,,,0,0,5,0,33,0,100,3,3,529,59.357,6,230,2.61,0,0,,0,0,,2576,243.4641,5,0:05:40,62510,3.17
QYxOrNcxkY4,makazze's 4K vs MongolZ on Inferno #cs2 #counterstrike #esportworldcup2026,"Aug 20, 2026",41,1424,69.52,73.32,,1785,2227,,,,,,0,0,0,0,28,0,100,0,0,410,1.9693,0,0,,0,0,,0,0,,2217,11.4556,0,0:00:28,736,1.22
GbFgtPgJMu8,donk casually drops a 4K in EWC #cs2 #counterstrike #esportsworldcup2026 #Shorts,"Aug 18, 2026",21,1265,88.61,64.17,,1779,2515,,,,,,0,0,2,0,25,0,100,0,0,332,0.8505,0,0,,0,0,,0,0,,2467,6.8536,2,0:00:18,4297,2.72
Q4sLcCbvHmM,ZywOo's 4K vs Spirit on Nuke #cs2 #counterstrike #esportworldcup2026,"Aug 24, 2026",21,1189,88.06,58.48,,1791,2483,,,,,,0,0,1,0,31,0,100,0,1,480,1.2932,0,0,,0,0,,0,0,,2470,6.4601,1,0:00:18,483,2.9
J4DRWfhp2Pc,donk's 4K vs BIG on Mirage #cs2 #counterstrike #esportworldcup2026,"Aug 19, 2026",45,1126,69.36,68.6,,1504,1936,,,,,,0,0,1,0,24,0,100,0,0,314,1.5401,0,0,,0,0,,0,0,,1925,9.986,1,0:00:31,309,0.65
E3gjKDmTJI0,donk's INSANE ACE with DEAGLE and M4 against B8 #cs2 #counterstrike #esportworldcup2026,"Aug 21, 2026",86,1095,57.28,64.58,,1507,2007,,,,,,0,0,0,0,46,0,100,3,1,356,2.5916,0,0,,0,0,,0,0,,1984,15.1908,0,0:00:49,1530,2.35
dSq-Qi1PQ6g,kashl1d's Cache B site one-man exec #cs2 #ewc2026 #esportsworldcup2026 #utility,"Aug 25, 2026",39,1060,53.41,55.04,,1618,1970,,,,,,0,0,0,0,30,0,100,5,0,384,1.3777,0,0,,0,0,,0,0,,1955,6.5168,0,0:00:20,3395,0.56
6jEdcO0QUtA,HeavyGod's AK 4K against level 10 faceit players #cs2 #counterstrike #Shorts,"Aug 12, 2026",33,989,71.17,47.71,,1809,2216,,,,,,0,0,2,1,12,0,100,0,0,331,1.021,0,0,,0,0,,0,0,,2201,6.877,1,0:00:23,525,2.48
PhdFcf5FahU,donk's DEAGLE 4K vs B8 on Dust2 #cs2 #counterstrike #esportworldcup2026,"Aug 22, 2026",21,956,87.88,72.3,,1177,1750,,,,,,0,0,2,0,27,0,100,6,0,266,0.7754,0,0,,0,0,,0,0,,1744,5.0534,2,0:00:18,1976,11.23
w9RfisZ2F-Y,tN1R's 4K vs FUT on Anubis #cs2 #counterstrike #esportworldcup2026,"Aug 26, 2026",41,917,59.53,63.72,,1311,1617,,,,,,0,0,0,0,33,0,100,0,2,243,0.9786,0,0,,0,0,,0,0,,1608,6.4607,0,0:00:24,786,4.71
FPaWG-268cY,donk casually drops an ACE against Dendele on Cache #cs2 #counterstrike #blastopenporto2026,"Aug 29, 2026",26,914,75.57,62.87,,1357,1822,,,,,,0,0,0,0,30,0,100,1,0,288,0.9549,0,0,,0,0,,0,0,,1808,5.2166,0,0:00:19,1989,2.41
miXsOJYRO9k,try pulls off a 2v5 CLUTCH vs NAVI on Inferno #cs2 #counterstrike #esportworldcup2026,"Aug 23, 2026",27,912,74.2,63.78,,1263,1669,,,,,,0,0,0,0,17,0,100,0,0,261,0.872,0,0,,0,0,,0,0,,1660,5.2649,0,0:00:20,463,1.94
npHo9aFSrG4,HeavyGod's 4K against MAGIXX and DONK #cs2 #counterstrike #Shorts,"Aug 15, 2026",30,856,74.31,56.55,,1318,1734,,,,,,0,0,0,0,15,0,100,0,0,276,0.9078,0,0,,0,0,,0,0,,1729,5.5913,0,0:00:22,209,1.44
h42q4G06JhU,w0nderful's INSANE ACE (5K) vs Legacy on Inferno #cs2 #counterstrike #esportworldcup2026,"Aug 23, 2026",29,781,84.46,57.89,,1208,1578,,,,,,0,0,1,0,28,0,100,0,0,279,0.9374,0,0,,0,0,,0,0,,1570,5.5383,1,0:00:24,662,0.76
ojMLFDARRX0,magixx pulls off an ACE against Liquid on Anubis #cs2 #csgo #counterstrike #cs2anubis,"Aug 2, 2026",31,757,85.61,60.21,,1096,1350,,,,,,0,0,0,0,28,0,100,1,0,226,0.6932,0,0,,0,0,,0,0,,1330,5.7541,0,0:00:26,431,2.32
R93ZQx5AiEo,donk's 4K vs FUT on Nuke #cs2 #counterstrike #esportworldcup2026,"Aug 26, 2026",26,743,93.2,55.6,,1170,1568,,,,,,0,0,0,0,22,0,100,0,1,250,0.671,0,0,,0,0,,0,0,,1553,5.2298,0,0:00:24,716,2.93
RU0XQnohpxM,faveN's 4K vs Spirit on Cache #cs2 #counterstrike #esportworldcup2026,"Aug 18, 2026",26,735,72.92,57.9,,1140,1436,,,,,,0,0,0,0,22,0,100,0,0,294,0.8296,0,0,,0,0,,0,0,,1435,4.0918,0,0:00:18,591,1.18
paFfy51Xaww,1v3 against NaVi? No problem for JBa #cs2 #counterstrike #blastopenporto2026,"Aug 28, 2026",40,682,63.97,57.21,,1092,1212,,,,,,0,0,0,0,27,0,100,0,0,190,0.7669,0,0,,0,0,,0,0,,1206,5.0637,0,0:00:25,132,1.52
bZJ7rjM-tsw,gr1ks pulls off a 1v3 CLUTCH vs Spirit on Dust2 #cs2 #counterstrike #esportworldcup2026,"Aug 19, 2026",16,622,105.74,51.28,,1067,1382,,,,,,0,0,0,0,26,0,100,3,0,209,0.4429,0,0,,0,0,,0,0,,1367,3.1373,0,0:00:16,623,3.53
RgLh5snoG7Y,karrigan | FURIA vs Falcons | Anubis | IEM Cologne Major 2026 | W/ Inputs + Util Overlay,"Jul 10, 2026",1491,617,12.74,,,574,47,,,,,,0,0,4,1,8,0,100,0,0,165,8.1715,0,0,,0,0,,0,0,,625,32.5682,3,0:03:10,16630,2.59
h2aZRiklUSs,donk's 1v3 Clutch + 4K vs MOUZ #cs2 #counterstrike #blastbounty2026 #Shorts,"Aug 3, 2026",52,605,92.58,66.92,,811,1042,,,,,,0,0,1,0,16,0,100,0,2,164,0.9541,0,0,,0,0,,0,0,,1036,8.209,1,0:00:48,281,3.56
5xzHNdk5O4Q,kyousuke | 1.66 Rating | FURIA vs Falcons | Anubis | Grand Final | IEM Cologne Major 2026,"Jul 6, 2026",1741,599,15.94,,,528,23,,,,,,0,0,2,0,12,0,100,1,0,117,8.7338,0,0,,0,0,,0,0,,603,46.1644,2,0:04:37,12975,3.28
JYzHv9JoPU8,tN1R's 4K vs Dendele on Cache #cs2 #counterstrike #blastopenporto2026,"Aug 28, 2026",33,586,66.67,48.87,,1051,1309,,,,,,0,0,1,0,17,0,100,0,0,211,0.6716,0,0,,0,0,,0,0,,1299,3.8092,1,0:00:22,572,1.4
Sg3vZ_fAzTk,kyousuke dropping a 4K against 3.2K ELOs #cs2 #counterstrike #Shorts,"Aug 14, 2026",65,564,49.13,63.51,,794,936,,,,,,0,0,0,0,20,0,100,0,0,163,1.0313,0,0,,0,0,,0,0,,930,5.1358,0,0:00:31,124,1.61
vMiabM775qg,NiKo pulls off a 1v3 CLUTCH vs MongolZ by TAPPING on Dust2 #cs2 #counterstrike #esportworldcup2026,"Aug 22, 2026",33,564,60.61,54.44,,900,1006,,,,,,0,0,0,0,19,0,100,0,0,163,0.4958,0,0,,0,0,,0,0,,1000,3.3082,0,0:00:20,748,0.8
uvzsv_IUZn4,kyousuke casually drops an AK ACE against 3.1k ELOs #cs2 #counterstrike #Shorts,"Aug 11, 2026",64,563,45.45,60.93,,857,1026,,,,,,0,0,0,0,14,0,100,0,1,173,0.8561,0,0,,0,0,,0,0,,1017,4.695,0,0:00:29,214,1.4
ncOZl2iXrXs,b1t dropping a 4K against M80 #cs2 #counterstrike #blastopenporto2026,"Aug 27, 2026",34,563,65.19,40.89,,1228,1515,,,,,,0,0,0,0,19,0,100,0,0,250,0.6201,0,0,,0,0,,0,0,,1505,3.7615,0,0:00:22,523,1.72
IJT11WfkziQ,Top Dust 2 Smokes used During CAC 2026,"Jun 11, 2026",1194,545,11.94,,,461,20,,,,,,0,0,10,1,25,0,100,4,2,148,6.5346,0,15,0,0,0,,0,0,,545,21.5867,9,0:02:22,9036,4.22
nsu--vfiaVw,2v5? No problem for jL 💀 (5K Ace) #cs2 #counterstrike #Shorts,"Aug 13, 2026",91,533,51.43,58.19,,801,968,,,,,,0,0,1,0,27,0,100,0,0,148,1.1419,0,0,,0,0,,0,0,,958,7.0656,1,0:00:46,111,1.8
gvVyqWP99bA,Best Smoke Lineups for B Short on Ancient (CAC2026) - Part 1  #csgo #cs2 #counterstrike #cs2ancient,"Jun 8, 2026",56,528,34.5,60.39,,772,0,,,,,,0,0,0,0,8,1,88.89,1,0,131,0.4923,0,0,,0,0,,0,0,,841,2.9319,0,0:00:19,131,4.58
rZ3OkRuAH1Y,Every Nuke Diagonal Smoke Variations used during CAC 2026 #cs2 #csgo #counterstrike,"Jun 3, 2026",83,526,32.91,60.55,,755,2,,,,,,0,0,0,0,12,1,92.31,0,0,165,0.9702,0,0,,0,0,,0,0,,829,4.123,0,0:00:27,231,1.3
MWYdY67il60,The Perfect Mid-to-B Smokes Pros Use to Take B (CAC 2026) #csgo #cs2 #counterstrike #cs2dust2,"Jun 11, 2026",80,525,22.88,58.05,,744,0,,,,,,0,0,1,0,17,0,100,0,0,129,0.489,0,0,,0,0,,0,0,,816,2.8,1,0:00:18,184,1.09
N9oOMXFPmWU,Smokes for Bottom Banana on Inferno  #cs2 #csgo #counterstrike #cs2inferno,"Jun 6, 2026",40,525,47.13,56.63,,811,0,,,,,,0,0,3,0,13,0,100,0,0,163,0.6324,0,0,,0,0,,0,0,,908,2.908,3,0:00:18,47,2.13
C4hmlsfB8V4,jcobbb 5K ACE in EWC 2026 #cs2 #counterstrike #esportsworldcup2026 #Shorts,"Aug 17, 2026",54,517,77.53,56.95,,795,976,,,,,,0,0,1,0,15,0,100,0,0,148,1.7773,0,0,,0,0,,0,0,,971,6.1904,1,0:00:41,585,2.56
FOkDF9kiidk,donk's ACE vs Dendele on Cache #cs2 #counterstrike #blastopenporto2026,"Aug 29, 2026",33,517,68.08,55,,851,1047,,,,,,0,0,2,0,6,0,100,0,0,227,0.8149,0,0,,0,0,,0,0,,1042,3.3947,2,0:00:22,455,1.76
Hk_G9zVXpC4,JBOEN drops a 4K vs Legacy #cs2 #counterstrike #esportsworldcup2026 #Shorts,"Aug 16, 2026",23,514,79.47,64.74,,725,1017,,,,,,0,0,0,0,9,0,100,1,1,140,0.4231,0,0,,0,0,,0,0,,1013,2.7239,0,0:00:18,507,4.34
7IDst6Rismg,Stop Pushing Dust 2 B Site Without This Smoke #csgo #cs2 #counterstrike #cs2dust2,"Jun 11, 2026",43,508,64.23,37.08,,1144,0,,,,,,0,0,1,0,6,1,85.71,1,0,190,0.5212,0,0,,0,0,,0,0,,1314,4.215,1,0:00:27,54,5.56
YmDBK37oeiY,CT Elbow Smokes for Taking A on Ancient - Part 1  #csgo #cs2 #counterstrike #cs2ancient,"Jun 9, 2026",40,505,41.33,45.98,,943,0,,,,,,0,0,0,0,13,1,92.86,0,0,151,0.3246,0,0,,0,0,,0,0,,1060,2.5198,0,0:00:16,83,2.41
iA4tKX2KZns,Top Donut Smokes to Take Mid Control on Ancient (CAC 2026)  #csgo #cs2 #counterstrike #cs2ancient,"Jun 7, 2026",41,505,38.51,49.07,,875,1,,,,,,0,0,1,0,19,0,100,0,0,174,0.4941,0,0,,0,0,,0,0,,972,2.4025,1,0:00:15,244,2.05
fOnG4DcjuVk,Best Flashes to Defend an A Push on Inferno #csgo #cs2 #counterstrike #cs2inferno,"Jun 5, 2026",61,504,30.28,53.5,,828,0,,,,,,0,0,0,0,8,0,100,0,0,123,0.3984,0,0,,0,0,,0,0,,880,2.7414,0,0:00:18,56,1.79
